trl Lum_S Lum_CD Lum_CL
0 53.0 68.4285714286 75.2714285715
1 53.0 68.4285714286 71.85
2 53.0 68.4285714286 75.2714285715
3 53.0 68.4285714286 68.4285714286
4 51.9 63.0 75.6
5 48.8333333333 64.0 67.2
6 51.9 63.0 59.85
7 51.9 63.0 56.7
8 51.9 63.0 75.6
9 55.4 67.1666666667 70.525
10 48.8333333333 64.0 60.8
11 48.8333333333 64.0 70.4
12 53.0 68.4285714286 61.5857142857
13 53.0 68.4285714286 61.5857142857
14 53.0 68.4285714286 82.1142857143
15 55.4 67.1666666667 67.1666666667
16 55.4 67.1666666667 70.525
17 53.0 68.4285714286 82.1142857143
18 48.8333333333 64.0 76.8
19 48.8333333333 64.0 70.4
20 51.9 63.0 75.6
21 48.8333333333 64.0 76.8
22 55.4 67.1666666667 73.8833333334
23 53.0 68.4285714286 65.0071428572
24 48.8333333333 64.0 76.8
25 53.0 68.4285714286 54.7428571429
26 53.0 68.4285714286 65.0071428572
27 51.9 63.0 66.15
28 48.8333333333 64.0 64.0
29 55.4 67.1666666667 60.45
30 53.0 68.4285714286 68.4285714286
31 55.4 67.1666666667 63.8083333334
32 51.9 63.0 63.0
33 55.4 67.1666666667 60.45
34 48.8333333333 64.0 70.4
35 51.9 63.0 56.7
36 48.8333333333 64.0 57.6
37 48.8333333333 64.0 76.8
38 48.8333333333 64.0 51.2
39 55.4 67.1666666667 60.45
40 55.4 67.1666666667 70.525
41 51.9 63.0 69.3
42 53.0 68.4285714286 82.1142857143
43 48.8333333333 64.0 76.8
44 55.4 67.1666666667 80.6
45 53.0 68.4285714286 65.0071428572
46 53.0 68.4285714286 68.4285714286
47 51.9 63.0 66.15
48 55.4 67.1666666667 67.1666666667
49 48.8333333333 64.0 57.6
50 55.4 67.1666666667 67.1666666667
51 53.0 68.4285714286 75.2714285715
52 55.4 67.1666666667 67.1666666667
53 53.0 68.4285714286 82.1142857143
54 51.9 63.0 59.85
55 51.9 63.0 50.4
56 55.4 67.1666666667 70.525
57 55.4 67.1666666667 73.8833333334
58 51.9 63.0 66.15
59 53.0 68.4285714286 65.0071428572
60 55.4 67.1666666667 63.8083333334
61 53.0 68.4285714286 61.5857142857
62 48.8333333333 64.0 70.4
63 48.8333333333 64.0 60.8
64 51.9 63.0 59.85
65 53.0 68.4285714286 65.0071428572
66 53.0 68.4285714286 71.85
67 53.0 68.4285714286 68.4285714286
68 53.0 68.4285714286 68.4285714286
69 48.8333333333 64.0 70.4
70 48.8333333333 64.0 64.0
71 55.4 67.1666666667 67.1666666667
72 55.4 67.1666666667 53.7333333334
73 53.0 68.4285714286 82.1142857143
74 51.9 63.0 50.4
75 53.0 68.4285714286 82.1142857143
76 51.9 63.0 66.15
77 55.4 67.1666666667 60.45
78 48.8333333333 64.0 64.0
79 51.9 63.0 50.4
80 51.9 63.0 56.7
81 48.8333333333 64.0 70.4
82 48.8333333333 64.0 57.6
83 48.8333333333 64.0 70.4
84 55.4 67.1666666667 67.1666666667
85 48.8333333333 64.0 64.0
86 55.4 67.1666666667 73.8833333334
87 55.4 67.1666666667 80.6
88 51.9 63.0 69.3
89 51.9 63.0 69.3
90 48.8333333333 64.0 67.2
91 48.8333333333 64.0 67.2
92 51.9 63.0 56.7
93 51.9 63.0 69.3
94 51.9 63.0 75.6
95 51.9 63.0 69.3
96 55.4 67.1666666667 70.525
97 55.4 67.1666666667 73.8833333334
98 55.4 67.1666666667 73.8833333334
99 48.8333333333 64.0 64.0
100 51.9 63.0 59.85
101 53.0 68.4285714286 54.7428571429
102 51.9 63.0 50.4
103 55.4 67.1666666667 80.6
104 51.9 63.0 50.4
105 51.9 63.0 63.0
106 53.0 68.4285714286 65.0071428572
107 53.0 68.4285714286 71.85
108 51.9 63.0 63.0
109 51.9 63.0 66.15
110 51.9 63.0 50.4
111 51.9 63.0 63.0
112 51.9 63.0 66.15
113 53.0 68.4285714286 82.1142857143
114 51.9 63.0 50.4
115 48.8333333333 64.0 76.8
116 55.4 67.1666666667 60.45
117 48.8333333333 64.0 64.0
118 53.0 68.4285714286 75.2714285715
119 48.8333333333 64.0 67.2
120 55.4 67.1666666667 63.8083333334
121 48.8333333333 64.0 70.4
122 53.0 68.4285714286 75.2714285715
123 48.8333333333 64.0 60.8
124 55.4 67.1666666667 60.45
125 48.8333333333 64.0 76.8
126 51.9 63.0 69.3
127 51.9 63.0 50.4
128 55.4 67.1666666667 73.8833333334
129 51.9 63.0 63.0
