trl Lum_S Lum_CD Lum_CL
0 51.9 63.0 57.09
1 53.0 68.4285714286 55.65
2 48.8333333333 64.0 46.3916666666
3 48.8333333333 64.0 46.3916666666
4 55.4 67.1666666667 49.86
5 55.4 67.1666666667 52.63
6 55.4 67.1666666667 60.94
7 51.9 63.0 41.52
8 51.9 63.0 51.9
9 53.0 68.4285714286 63.6
10 48.8333333333 64.0 39.0666666666
11 51.9 63.0 51.9
12 55.4 67.1666666667 66.48
13 51.9 63.0 49.305
14 48.8333333333 64.0 43.95
15 48.8333333333 64.0 46.3916666666
16 51.9 63.0 54.495
17 55.4 67.1666666667 66.48
18 51.9 63.0 46.71
19 48.8333333333 64.0 53.7166666666
20 48.8333333333 64.0 58.6
21 51.9 63.0 46.71
22 55.4 67.1666666667 49.86
23 55.4 67.1666666667 58.17
24 53.0 68.4285714286 58.3
25 53.0 68.4285714286 47.7
26 55.4 67.1666666667 49.86
27 53.0 68.4285714286 53.0
28 53.0 68.4285714286 58.3
29 53.0 68.4285714286 55.65
30 53.0 68.4285714286 55.65
31 48.8333333333 64.0 51.275
32 53.0 68.4285714286 55.65
33 48.8333333333 64.0 43.95
34 55.4 67.1666666667 52.63
35 51.9 63.0 46.71
36 53.0 68.4285714286 50.35
37 55.4 67.1666666667 52.63
38 51.9 63.0 51.9
39 53.0 68.4285714286 42.4
40 55.4 67.1666666667 44.32
41 48.8333333333 64.0 43.95
42 51.9 63.0 49.305
43 51.9 63.0 51.9
44 53.0 68.4285714286 63.6
45 48.8333333333 64.0 53.7166666666
46 53.0 68.4285714286 42.4
47 51.9 63.0 51.9
48 55.4 67.1666666667 66.48
49 53.0 68.4285714286 63.6
50 55.4 67.1666666667 49.86
51 53.0 68.4285714286 47.7
52 53.0 68.4285714286 53.0
53 51.9 63.0 54.495
54 51.9 63.0 41.52
55 53.0 68.4285714286 55.65
56 55.4 67.1666666667 44.32
57 51.9 63.0 46.71
58 51.9 63.0 62.28
59 53.0 68.4285714286 63.6
60 51.9 63.0 46.71
61 51.9 63.0 51.9
62 48.8333333333 64.0 48.8333333333
63 51.9 63.0 49.305
64 53.0 68.4285714286 53.0
65 48.8333333333 64.0 43.95
66 48.8333333333 64.0 46.3916666666
67 53.0 68.4285714286 63.6
68 51.9 63.0 41.52
69 51.9 63.0 54.495
70 48.8333333333 64.0 51.275
71 53.0 68.4285714286 58.3
72 55.4 67.1666666667 44.32
73 55.4 67.1666666667 60.94
74 53.0 68.4285714286 53.0
75 53.0 68.4285714286 42.4
76 51.9 63.0 54.495
77 55.4 67.1666666667 52.63
78 53.0 68.4285714286 53.0
79 53.0 68.4285714286 63.6
80 53.0 68.4285714286 42.4
81 51.9 63.0 62.28
82 55.4 67.1666666667 55.4
83 51.9 63.0 57.09
84 51.9 63.0 62.28
85 53.0 68.4285714286 53.0
86 53.0 68.4285714286 47.7
87 53.0 68.4285714286 55.65
88 53.0 68.4285714286 55.65
89 55.4 67.1666666667 55.4
90 53.0 68.4285714286 55.65
91 55.4 67.1666666667 49.86
92 48.8333333333 64.0 43.95
93 55.4 67.1666666667 66.48
94 53.0 68.4285714286 50.35
95 48.8333333333 64.0 46.3916666666
96 48.8333333333 64.0 46.3916666666
97 55.4 67.1666666667 66.48
98 48.8333333333 64.0 51.275
99 55.4 67.1666666667 58.17
100 48.8333333333 64.0 39.0666666666
101 51.9 63.0 51.9
102 48.8333333333 64.0 51.275
103 55.4 67.1666666667 58.17
104 51.9 63.0 49.305
105 48.8333333333 64.0 48.8333333333
106 48.8333333333 64.0 39.0666666666
107 53.0 68.4285714286 63.6
108 55.4 67.1666666667 66.48
109 51.9 63.0 51.9
110 53.0 68.4285714286 50.35
111 55.4 67.1666666667 66.48
112 53.0 68.4285714286 55.65
113 51.9 63.0 49.305
114 48.8333333333 64.0 39.0666666666
115 51.9 63.0 49.305
116 51.9 63.0 41.52
117 55.4 67.1666666667 44.32
118 55.4 67.1666666667 60.94
119 53.0 68.4285714286 50.35
120 53.0 68.4285714286 53.0
121 48.8333333333 64.0 43.95
122 48.8333333333 64.0 48.8333333333
123 51.9 63.0 54.495
124 55.4 67.1666666667 52.63
125 51.9 63.0 62.28
126 53.0 68.4285714286 58.3
127 55.4 67.1666666667 55.4
128 48.8333333333 64.0 46.3916666666
129 51.9 63.0 62.28
130 48.8333333333 64.0 53.7166666666
131 55.4 67.1666666667 52.63
132 51.9 63.0 49.305
133 53.0 68.4285714286 58.3
134 55.4 67.1666666667 44.32
135 51.9 63.0 46.71
136 55.4 67.1666666667 55.4
137 55.4 67.1666666667 55.4
138 48.8333333333 64.0 39.0666666666
139 55.4 67.1666666667 49.86
140 53.0 68.4285714286 50.35
141 53.0 68.4285714286 47.7
142 53.0 68.4285714286 42.4
143 48.8333333333 64.0 43.95
144 53.0 68.4285714286 58.3
145 51.9 63.0 46.71
146 51.9 63.0 46.71
147 53.0 68.4285714286 50.35
148 53.0 68.4285714286 47.7
149 51.9 63.0 54.495
150 51.9 63.0 49.305
151 48.8333333333 64.0 48.8333333333
152 53.0 68.4285714286 63.6
153 53.0 68.4285714286 42.4
154 55.4 67.1666666667 44.32
155 53.0 68.4285714286 53.0
156 51.9 63.0 51.9
157 53.0 68.4285714286 42.4
158 53.0 68.4285714286 58.3
159 51.9 63.0 41.52
160 53.0 68.4285714286 42.4
161 51.9 63.0 62.28
162 53.0 68.4285714286 53.0
163 55.4 67.1666666667 49.86
164 48.8333333333 64.0 43.95
165 53.0 68.4285714286 58.3
166 51.9 63.0 41.52
167 48.8333333333 64.0 43.95
168 55.4 67.1666666667 60.94
169 55.4 67.1666666667 60.94
170 53.0 68.4285714286 47.7
171 48.8333333333 64.0 51.275
172 51.9 63.0 51.9
173 48.8333333333 64.0 51.275
174 55.4 67.1666666667 66.48
175 48.8333333333 64.0 58.6
176 48.8333333333 64.0 53.7166666666
177 48.8333333333 64.0 48.8333333333
178 51.9 63.0 57.09
179 55.4 67.1666666667 44.32
180 51.9 63.0 57.09
181 55.4 67.1666666667 49.86
182 53.0 68.4285714286 58.3
183 55.4 67.1666666667 49.86
184 55.4 67.1666666667 58.17
185 48.8333333333 64.0 58.6
186 51.9 63.0 46.71
187 48.8333333333 64.0 53.7166666666
188 51.9 63.0 54.495
189 53.0 68.4285714286 63.6
190 51.9 63.0 49.305
191 53.0 68.4285714286 42.4
192 51.9 63.0 57.09
193 48.8333333333 64.0 48.8333333333
194 53.0 68.4285714286 63.6
195 55.4 67.1666666667 52.63
196 51.9 63.0 49.305
197 55.4 67.1666666667 58.17
198 51.9 63.0 51.9
199 55.4 67.1666666667 55.4
200 55.4 67.1666666667 60.94
201 55.4 67.1666666667 66.48
202 51.9 63.0 57.09
203 55.4 67.1666666667 52.63
204 51.9 63.0 54.495
205 48.8333333333 64.0 39.0666666666
206 53.0 68.4285714286 47.7
207 53.0 68.4285714286 47.7
208 48.8333333333 64.0 53.7166666666
209 48.8333333333 64.0 46.3916666666
210 55.4 67.1666666667 44.32
211 53.0 68.4285714286 63.6
212 53.0 68.4285714286 55.65
213 51.9 63.0 62.28
214 51.9 63.0 41.52
215 48.8333333333 64.0 53.7166666666
216 55.4 67.1666666667 66.48
217 48.8333333333 64.0 58.6
218 53.0 68.4285714286 47.7
219 55.4 67.1666666667 52.63
220 48.8333333333 64.0 53.7166666666
221 51.9 63.0 49.305
222 53.0 68.4285714286 55.65
223 48.8333333333 64.0 46.3916666666
224 48.8333333333 64.0 51.275
225 48.8333333333 64.0 48.8333333333
226 51.9 63.0 62.28
227 55.4 67.1666666667 58.17
228 48.8333333333 64.0 39.0666666666
229 48.8333333333 64.0 46.3916666666
230 48.8333333333 64.0 39.0666666666
231 51.9 63.0 62.28
232 48.8333333333 64.0 51.275
233 55.4 67.1666666667 60.94
234 48.8333333333 64.0 48.8333333333
235 51.9 63.0 49.305
236 51.9 63.0 62.28
237 48.8333333333 64.0 53.7166666666
238 55.4 67.1666666667 60.94
239 55.4 67.1666666667 60.94
240 55.4 67.1666666667 55.4
241 51.9 63.0 57.09
242 53.0 68.4285714286 58.3
243 55.4 67.1666666667 49.86
244 55.4 67.1666666667 60.94
245 55.4 67.1666666667 55.4
246 51.9 63.0 57.09
247 55.4 67.1666666667 52.63
248 51.9 63.0 54.495
249 53.0 68.4285714286 47.7
250 53.0 68.4285714286 42.4
251 51.9 63.0 41.52
252 55.4 67.1666666667 44.32
253 51.9 63.0 41.52
254 55.4 67.1666666667 55.4
255 53.0 68.4285714286 58.3
256 48.8333333333 64.0 46.3916666666
257 48.8333333333 64.0 58.6
258 53.0 68.4285714286 55.65
259 51.9 63.0 51.9
260 51.9 63.0 49.305
261 48.8333333333 64.0 51.275
262 53.0 68.4285714286 53.0
263 48.8333333333 64.0 51.275
264 48.8333333333 64.0 39.0666666666
265 53.0 68.4285714286 55.65
266 53.0 68.4285714286 47.7
267 51.9 63.0 46.71
268 53.0 68.4285714286 63.6
269 55.4 67.1666666667 49.86
270 55.4 67.1666666667 60.94
271 51.9 63.0 46.71
272 55.4 67.1666666667 55.4
273 55.4 67.1666666667 55.4
274 51.9 63.0 57.09
275 48.8333333333 64.0 48.8333333333
276 51.9 63.0 41.52
277 48.8333333333 64.0 43.95
278 55.4 67.1666666667 52.63
279 48.8333333333 64.0 58.6
280 48.8333333333 64.0 43.95
281 53.0 68.4285714286 47.7
282 55.4 67.1666666667 60.94
283 51.9 63.0 57.09
284 51.9 63.0 57.09
285 51.9 63.0 54.495
286 48.8333333333 64.0 58.6
287 53.0 68.4285714286 50.35
288 48.8333333333 64.0 51.275
289 48.8333333333 64.0 53.7166666666
290 48.8333333333 64.0 53.7166666666
291 51.9 63.0 62.28
292 55.4 67.1666666667 55.4
293 53.0 68.4285714286 55.65
294 48.8333333333 64.0 39.0666666666
295 51.9 63.0 41.52
296 48.8333333333 64.0 58.6
297 51.9 63.0 46.71
298 55.4 67.1666666667 58.17
299 53.0 68.4285714286 50.35
300 48.8333333333 64.0 46.3916666666
301 51.9 63.0 54.495
302 55.4 67.1666666667 60.94
303 48.8333333333 64.0 46.3916666666
304 51.9 63.0 41.52
305 48.8333333333 64.0 43.95
306 48.8333333333 64.0 48.8333333333
307 53.0 68.4285714286 47.7
308 48.8333333333 64.0 51.275
309 55.4 67.1666666667 44.32
310 55.4 67.1666666667 49.86
311 51.9 63.0 54.495
312 53.0 68.4285714286 50.35
313 53.0 68.4285714286 55.65
314 53.0 68.4285714286 50.35
315 51.9 63.0 41.52
316 48.8333333333 64.0 51.275
317 53.0 68.4285714286 63.6
318 53.0 68.4285714286 63.6
319 48.8333333333 64.0 58.6
320 55.4 67.1666666667 44.32
321 51.9 63.0 62.28
322 48.8333333333 64.0 43.95
323 51.9 63.0 54.495
324 48.8333333333 64.0 46.3916666666
325 51.9 63.0 57.09
326 53.0 68.4285714286 42.4
327 51.9 63.0 57.09
328 48.8333333333 64.0 51.275
329 53.0 68.4285714286 53.0
330 53.0 68.4285714286 63.6
331 53.0 68.4285714286 42.4
332 51.9 63.0 41.52
333 55.4 67.1666666667 66.48
334 53.0 68.4285714286 50.35
335 48.8333333333 64.0 46.3916666666
336 51.9 63.0 54.495
337 48.8333333333 64.0 58.6
338 48.8333333333 64.0 43.95
339 48.8333333333 64.0 58.6
340 51.9 63.0 46.71
341 51.9 63.0 57.09
342 53.0 68.4285714286 42.4
343 51.9 63.0 51.9
344 55.4 67.1666666667 60.94
345 51.9 63.0 54.495
346 48.8333333333 64.0 43.95
347 48.8333333333 64.0 48.8333333333
348 55.4 67.1666666667 44.32
349 51.9 63.0 54.495
350 53.0 68.4285714286 53.0
351 48.8333333333 64.0 39.0666666666
352 55.4 67.1666666667 49.86
353 48.8333333333 64.0 46.3916666666
354 48.8333333333 64.0 48.8333333333
355 55.4 67.1666666667 58.17
356 53.0 68.4285714286 47.7
357 48.8333333333 64.0 58.6
358 53.0 68.4285714286 50.35
359 55.4 67.1666666667 52.63
360 53.0 68.4285714286 47.7
361 53.0 68.4285714286 53.0
362 55.4 67.1666666667 58.17
363 55.4 67.1666666667 66.48
364 51.9 63.0 54.495
365 48.8333333333 64.0 58.6
366 48.8333333333 64.0 58.6
367 53.0 68.4285714286 53.0
368 51.9 63.0 62.28
369 53.0 68.4285714286 50.35
370 48.8333333333 64.0 58.6
371 53.0 68.4285714286 50.35
372 53.0 68.4285714286 53.0
373 55.4 67.1666666667 49.86
374 55.4 67.1666666667 60.94
375 53.0 68.4285714286 55.65
376 55.4 67.1666666667 66.48
377 51.9 63.0 46.71
378 55.4 67.1666666667 44.32
379 55.4 67.1666666667 60.94
380 53.0 68.4285714286 58.3
381 53.0 68.4285714286 58.3
382 48.8333333333 64.0 39.0666666666
383 53.0 68.4285714286 42.4
384 53.0 68.4285714286 58.3
385 48.8333333333 64.0 46.3916666666
386 53.0 68.4285714286 58.3
387 51.9 63.0 57.09
388 51.9 63.0 49.305
389 51.9 63.0 49.305
390 48.8333333333 64.0 51.275
391 51.9 63.0 49.305
392 51.9 63.0 49.305
393 53.0 68.4285714286 58.3
394 55.4 67.1666666667 49.86
395 53.0 68.4285714286 42.4
396 53.0 68.4285714286 58.3
397 51.9 63.0 49.305
398 53.0 68.4285714286 63.6
399 51.9 63.0 51.9
400 55.4 67.1666666667 58.17
401 51.9 63.0 57.09
402 51.9 63.0 62.28
403 48.8333333333 64.0 58.6
404 48.8333333333 64.0 46.3916666666
405 53.0 68.4285714286 63.6
406 51.9 63.0 46.71
407 55.4 67.1666666667 44.32
408 51.9 63.0 41.52
409 48.8333333333 64.0 58.6
410 48.8333333333 64.0 58.6
411 55.4 67.1666666667 52.63
412 51.9 63.0 57.09
413 55.4 67.1666666667 52.63
414 48.8333333333 64.0 48.8333333333
415 51.9 63.0 41.52
416 48.8333333333 64.0 58.6
417 48.8333333333 64.0 53.7166666666
418 51.9 63.0 62.28
419 55.4 67.1666666667 49.86
420 55.4 67.1666666667 60.94
421 53.0 68.4285714286 50.35
422 53.0 68.4285714286 42.4
423 48.8333333333 64.0 48.8333333333
424 55.4 67.1666666667 60.94
425 55.4 67.1666666667 52.63
426 55.4 67.1666666667 58.17
427 55.4 67.1666666667 52.63
428 55.4 67.1666666667 52.63
429 48.8333333333 64.0 39.0666666666
430 55.4 67.1666666667 55.4
431 51.9 63.0 51.9
432 48.8333333333 64.0 53.7166666666
433 55.4 67.1666666667 44.32
434 48.8333333333 64.0 43.95
435 53.0 68.4285714286 53.0
436 55.4 67.1666666667 55.4
437 55.4 67.1666666667 49.86
438 55.4 67.1666666667 66.48
439 53.0 68.4285714286 53.0
440 48.8333333333 64.0 43.95
441 55.4 67.1666666667 58.17
442 48.8333333333 64.0 51.275
443 53.0 68.4285714286 63.6
444 53.0 68.4285714286 63.6
445 48.8333333333 64.0 51.275
446 51.9 63.0 62.28
447 51.9 63.0 62.28
448 53.0 68.4285714286 53.0
449 55.4 67.1666666667 58.17
450 53.0 68.4285714286 50.35
451 51.9 63.0 57.09
452 53.0 68.4285714286 42.4
453 55.4 67.1666666667 52.63
454 51.9 63.0 51.9
455 53.0 68.4285714286 55.65
456 55.4 67.1666666667 49.86
457 48.8333333333 64.0 53.7166666666
458 48.8333333333 64.0 53.7166666666
459 55.4 67.1666666667 49.86
460 55.4 67.1666666667 55.4
461 51.9 63.0 51.9
462 48.8333333333 64.0 39.0666666666
463 53.0 68.4285714286 58.3
464 48.8333333333 64.0 39.0666666666
465 55.4 67.1666666667 44.32
466 48.8333333333 64.0 51.275
467 55.4 67.1666666667 66.48
468 48.8333333333 64.0 48.8333333333
469 48.8333333333 64.0 53.7166666666
470 48.8333333333 64.0 43.95
471 51.9 63.0 54.495
472 51.9 63.0 57.09
473 53.0 68.4285714286 50.35
474 48.8333333333 64.0 39.0666666666
475 51.9 63.0 46.71
476 55.4 67.1666666667 58.17
477 55.4 67.1666666667 58.17
478 48.8333333333 64.0 39.0666666666
479 48.8333333333 64.0 51.275
480 55.4 67.1666666667 55.4
481 53.0 68.4285714286 47.7
482 55.4 67.1666666667 58.17
483 53.0 68.4285714286 47.7
484 48.8333333333 64.0 48.8333333333
485 51.9 63.0 41.52
486 55.4 67.1666666667 58.17
487 51.9 63.0 51.9
488 53.0 68.4285714286 53.0
489 53.0 68.4285714286 47.7
490 55.4 67.1666666667 66.48
491 51.9 63.0 41.52
492 55.4 67.1666666667 58.17
493 51.9 63.0 41.52
494 51.9 63.0 54.495
495 48.8333333333 64.0 48.8333333333
496 51.9 63.0 62.28
497 51.9 63.0 62.28
498 48.8333333333 64.0 48.8333333333
499 51.9 63.0 41.52
500 55.4 67.1666666667 66.48
501 55.4 67.1666666667 66.48
502 51.9 63.0 46.71
503 48.8333333333 64.0 48.8333333333
504 55.4 67.1666666667 58.17
505 51.9 63.0 46.71
506 48.8333333333 64.0 51.275
507 55.4 67.1666666667 44.32
508 53.0 68.4285714286 55.65
509 48.8333333333 64.0 53.7166666666
510 48.8333333333 64.0 48.8333333333
511 55.4 67.1666666667 55.4
512 48.8333333333 64.0 53.7166666666
513 53.0 68.4285714286 50.35
514 55.4 67.1666666667 58.17
515 55.4 67.1666666667 55.4
516 55.4 67.1666666667 66.48
517 53.0 68.4285714286 42.4
518 51.9 63.0 46.71
519 51.9 63.0 62.28
520 53.0 68.4285714286 50.35
521 48.8333333333 64.0 39.0666666666
522 55.4 67.1666666667 66.48
523 53.0 68.4285714286 53.0
524 48.8333333333 64.0 53.7166666666
525 55.4 67.1666666667 52.63
526 51.9 63.0 54.495
527 48.8333333333 64.0 43.95
528 48.8333333333 64.0 46.3916666666
529 53.0 68.4285714286 63.6
530 53.0 68.4285714286 58.3
531 55.4 67.1666666667 55.4
532 51.9 63.0 51.9
533 48.8333333333 64.0 43.95
534 55.4 67.1666666667 44.32
535 55.4 67.1666666667 52.63
536 53.0 68.4285714286 42.4
537 48.8333333333 64.0 39.0666666666
538 53.0 68.4285714286 58.3
539 51.9 63.0 49.305
540 55.4 67.1666666667 49.86
541 53.0 68.4285714286 42.4
542 53.0 68.4285714286 50.35
543 55.4 67.1666666667 60.94
544 48.8333333333 64.0 46.3916666666
545 55.4 67.1666666667 60.94
546 51.9 63.0 57.09
547 55.4 67.1666666667 55.4
548 51.9 63.0 51.9
549 55.4 67.1666666667 44.32
550 53.0 68.4285714286 47.7
551 51.9 63.0 49.305
