Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
1 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.679368389996
2 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.385332229998
3 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 1.1005821
4 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 1 0.34298469
5 51.9 63.0 -11.1 75.6 46.0 1 0.310359489999
6 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.32337057
7 51.9 63.0 -11.1 59.85 15.0 1 1.25716649
8 51.9 63.0 -11.1 56.7 9.0 1 0.514209759996
9 51.9 63.0 -11.1 75.6 46.0 1 0.337361679998
10 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.868064029997
11 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.272519459999
12 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.315197769996
13 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.293911779998
14 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.219321009998
15 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.282772949999
16 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 1.78509648
17 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.814110619998
18 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.187033319999
19 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.222919079999
20 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.256811989995
21 51.9 63.0 -11.1 75.6 46.0 1 0.213997319999
22 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.213599350001
23 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.274135179996
24 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 1 0.485973169998
25 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.245326799999
26 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.385512299996
27 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 1 0.273579819997
28 51.9 63.0 -11.1 66.15 27.0 1 0.233460239997
29 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.383522359996
30 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.59027253
31 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.356948049997
32 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.476926619998
33 51.9 63.0 -11.1 63.0 21.0 1 0.476556040001
34 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.273532700001
35 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.299312479998
36 51.9 63.0 -11.1 56.7 9.0 1 0.27538512
37 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.21368216
38 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.226423649998
39 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.207560769999
40 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.223744439998
41 55.4 67.1666666667 -11.7666666667 70.525 27.0 1 0.286543319999
42 51.9 63.0 -11.1 69.3 34.0 1 0.258387899998
43 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.237954979999
44 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.23465812
45 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.231788109999
