Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
1 51.9 63.0 -11.1 57.09 -9.0 1 0.703777
2 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.51824696
3 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.93135372
4 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 0 0.83758309
5 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.70294737
6 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.59335714
7 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.27460029
8 51.9 63.0 -11.1 41.52 -34.0 1 0.59925684
9 51.9 63.0 -11.1 51.9 -18.0 1 0.3486464
10 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.26752107
11 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 0 0.9574589
12 51.9 63.0 -11.1 51.9 -18.0 1 0.34402919
13 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.28539902
14 51.9 63.0 -11.1 49.305 -22.0 0 0.40292533
15 48.8333333333 64.0 -15.1666666667 43.95 -31.0 0 2.37276772
16 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 0 0.58376524
17 51.9 63.0 -11.1 54.495 -14.0 1 0.4279678
18 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.48195235
19 51.9 63.0 -11.1 46.71 -26.0 0 0.60300367
20 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.25440535
21 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.20308741
22 51.9 63.0 -11.1 46.71 -26.0 1 0.58103484
23 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.87752982
24 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.23954967
25 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.23991913
26 53.0 68.4285714286 -15.4285714286 47.7 -30.0 0 0.86101346
27 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.57044712
28 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.57254717
29 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.20377853
30 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.28584723
31 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.22426017
32 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.1870931
33 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.26528258
34 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.65009347
35 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.53734711
36 51.9 63.0 -11.1 46.71 -26.0 1 0.31436024
37 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.25217139
38 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.47464441
39 51.9 63.0 -11.1 51.9 -18.0 0 0.28410653
40 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.62997198
41 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.90618736
42 48.8333333333 64.0 -15.1666666667 43.95 -31.0 0 0.49628576
43 51.9 63.0 -11.1 49.305 -22.0 1 0.54390769
44 51.9 63.0 -11.1 51.9 -18.0 0 0.49944865
45 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.18740708
46 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.28296627
47 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.54522519
48 51.9 63.0 -11.1 51.9 -18.0 0 0.30741444
49 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.2210867
50 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.15686024
51 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.41022963
52 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.29885251
53 53.0 68.4285714286 -15.4285714286 53.0 -23.0 0 0.30426163
54 51.9 63.0 -11.1 54.495 -14.0 1 0.30526815
55 51.9 63.0 -11.1 41.52 -34.0 1 0.23123516
56 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.27728918
57 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.4446346
58 51.9 63.0 -11.1 46.71 -26.0 1 0.41037255
59 51.9 63.0 -11.1 62.28 -1.0 1 0.29832978
