trl target_type LumS LumCD
0 0.0 47.0 63.0
1 0.0 59.0 71.3333333333
2 0.0 55.0 71.3333333333
3 0.0 46.0 63.0
4 0.0 57.0 71.3333333333
5 0.0 60.0 79.6666666667
6 0.0 53.0 63.0
7 0.0 52.0 63.0
8 0.0 56.0 79.6666666667
9 0.0 58.0 88.0
10 0.0 59.0 79.6666666667
11 0.0 57.0 71.3333333333
12 0.0 54.0 63.0
13 0.0 58.0 71.3333333333
14 0.0 53.0 63.0
15 0.0 59.0 71.3333333333
16 0.0 58.0 71.3333333333
17 0.0 59.0 79.6666666667
18 0.0 60.0 79.6666666667
19 0.0 54.0 63.0
20 0.0 60.0 88.0
21 0.0 53.0 63.0
22 0.0 59.0 88.0
23 0.0 53.0 63.0
24 0.0 60.0 88.0
25 0.0 59.0 88.0
26 0.0 60.0 88.0
27 0.0 59.0 88.0
28 0.0 54.0 63.0
29 0.0 57.0 71.3333333333
30 0.0 61.0 88.0
31 0.0 61.0 88.0
32 0.0 60.0 79.6666666667
33 0.0 59.0 88.0
34 0.0 56.0 71.3333333333
35 0.0 54.0 71.3333333333
36 0.0 58.0 79.6666666667
37 0.0 58.0 79.6666666667
38 0.0 68.0 79.6666666667
39 0.0 60.0 79.6666666667
40 0.0 54.0 67.1666666667
41 0.0 55.0 67.1666666667
42 0.0 51.0 67.1666666667
43 0.0 54.0 67.1666666667
44 0.0 56.0 67.1666666667
45 0.0 57.0 67.1666666667
46 0.0 59.0 67.1666666667
47 0.0 58.0 67.1666666667
48 0.0 56.0 67.1666666667
49 0.0 54.0 67.1666666667
50 1.0 36.3333333333 59.0
51 1.0 28.0 40.0
52 1.0 44.6666666667 61.0
53 1.0 53.0 81.0
54 1.0 53.0 81.0
55 1.0 36.3333333333 59.0
56 1.0 28.0 47.0
57 1.0 36.3333333333 58.0
58 1.0 53.0 69.0
59 1.0 44.6666666667 60.0
60 1.0 28.0 45.0
61 1.0 53.0 65.0
62 1.0 44.6666666667 60.0
63 1.0 53.0 64.0
64 1.0 44.6666666667 59.0
65 1.0 44.6666666667 58.0
66 1.0 28.0 43.0
67 1.0 44.6666666667 64.0
68 1.0 53.0 67.0
69 1.0 36.3333333333 57.0
70 1.0 36.3333333333 54.0
71 1.0 44.6666666667 60.0
72 1.0 44.6666666667 59.0
73 1.0 36.3333333333 58.0
74 1.0 53.0 71.0
75 1.0 36.3333333333 51.0
76 1.0 28.0 46.0
77 1.0 36.3333333333 51.0
78 1.0 28.0 44.0
79 1.0 53.0 73.0
80 1.0 28.0 42.0
81 1.0 44.6666666667 58.0
82 1.0 28.0 44.0
83 1.0 36.3333333333 57.0
84 1.0 53.0 69.0
85 1.0 28.0 40.0
86 1.0 53.0 66.0
87 1.0 36.3333333333 51.0
88 1.0 28.0 43.0
89 1.0 44.6666666667 59.0
90 1.0 48.8333333333 71.0
91 1.0 48.8333333333 60.0
92 1.0 48.8333333333 61.0
93 1.0 48.8333333333 65.0
94 1.0 48.8333333333 60.0
95 1.0 48.8333333333 65.0
96 1.0 48.8333333333 70.0
97 1.0 48.8333333333 66.0
98 1.0 48.8333333333 61.0
99 1.0 48.8333333333 61.0
