 target LumM_end LumT
0 0.0 47.0 63.0
1 0.0 59.0 71.3333333333
2 0.0 55.0 71.3333333333
3 0.0 46.0 63.0
4 0.0 57.0 71.3333333333
5 0.0 60.0 79.6666666667
6 0.0 53.0 63.0
7 0.0 52.0 63.0
8 0.0 56.0 79.6666666667
9 0.0 58.0 88.0
10 0.0 59.0 79.6666666667
11 0.0 57.0 71.3333333333
12 0.0 54.0 63.0
13 0.0 58.0 71.3333333333
14 0.0 53.0 63.0
15 0.0 59.0 71.3333333333
16 0.0 58.0 71.3333333333
17 0.0 59.0 79.6666666667
18 0.0 60.0 79.6666666667
19 0.0 54.0 63.0
20 0.0 60.0 88.0
21 0.0 53.0 63.0
22 0.0 59.0 88.0
23 0.0 53.0 63.0
24 0.0 60.0 88.0
25 0.0 59.0 88.0
26 0.0 60.0 88.0
27 0.0 59.0 88.0
28 0.0 54.0 63.0
29 0.0 57.0 71.3333333333
30 0.0 61.0 88.0
31 0.0 61.0 88.0
32 0.0 60.0 79.6666666667
33 0.0 59.0 88.0
34 0.0 56.0 71.3333333333
35 0.0 54.0 71.3333333333
36 0.0 58.0 79.6666666667
37 0.0 58.0 79.6666666667
38 0.0 68.0 79.6666666667
39 0.0 60.0 79.6666666667
40 0.0 54.0 67.1666666667
41 0.0 55.0 67.1666666667
42 0.0 51.0 67.1666666667
43 0.0 54.0 67.1666666667
44 0.0 56.0 67.1666666667
45 0.0 57.0 67.1666666667
46 0.0 59.0 67.1666666667
47 0.0 58.0 67.1666666667
48 0.0 56.0 67.1666666667
49 0.0 54.0 67.1666666667
