 target LumT LumM_end
0 1.0 36.3333333333 59.0
1 1.0 28.0 40.0
2 1.0 44.6666666667 61.0
3 1.0 53.0 81.0
4 1.0 53.0 81.0
5 1.0 36.3333333333 59.0
6 1.0 28.0 47.0
7 1.0 36.3333333333 58.0
8 1.0 53.0 69.0
9 1.0 44.6666666667 60.0
10 1.0 28.0 45.0
11 1.0 53.0 65.0
12 1.0 44.6666666667 60.0
13 1.0 53.0 64.0
14 1.0 44.6666666667 59.0
15 1.0 44.6666666667 58.0
16 1.0 28.0 43.0
17 1.0 44.6666666667 64.0
18 1.0 53.0 67.0
19 1.0 36.3333333333 57.0
20 1.0 36.3333333333 54.0
21 1.0 44.6666666667 60.0
22 1.0 44.6666666667 59.0
23 1.0 36.3333333333 58.0
24 1.0 53.0 71.0
25 1.0 36.3333333333 51.0
26 1.0 28.0 46.0
27 1.0 36.3333333333 51.0
28 1.0 28.0 44.0
29 1.0 53.0 73.0
30 1.0 28.0 42.0
31 1.0 44.6666666667 58.0
32 1.0 28.0 44.0
33 1.0 36.3333333333 57.0
34 1.0 53.0 69.0
35 1.0 28.0 40.0
36 1.0 53.0 66.0
37 1.0 36.3333333333 51.0
38 1.0 28.0 43.0
39 1.0 44.6666666667 59.0
40 1.0 48.8333333333 71.0
41 1.0 48.8333333333 60.0
42 1.0 48.8333333333 61.0
43 1.0 48.8333333333 65.0
44 1.0 48.8333333333 60.0
45 1.0 48.8333333333 65.0
46 1.0 48.8333333333 70.0
47 1.0 48.8333333333 66.0
48 1.0 48.8333333333 61.0
49 1.0 48.8333333333 61.0
