IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-02
2.442002442002442000e-04 6.060606060609999984e-02 2.056666666666666643e-01
4.884004884004884001e-04 7.070707070710000042e-02 3.170000000000000040e-01
7.326007326007326001e-04 8.080808080809999405e-02 4.733333333333333282e-01
9.768009768009768001e-04 9.090909090910000157e-02 6.736666666666666359e-01
1.465201465201465200e-03 1.010101010100000057e-01 9.359999999999999432e-01
1.953601953601953600e-03 1.111111111109999994e-01 1.260666666666666602e+00
2.442002442002442000e-03 1.212121212120000069e-01 1.654666666666666730e+00
3.174603174603174600e-03 1.313131313129999866e-01 2.111999999999999655e+00
4.151404151404151401e-03 1.414141414139999942e-01 2.646000000000000352e+00
5.128205128205128201e-03 1.515151515150000017e-01 3.257666666666666710e+00
6.349206349206349201e-03 1.616161616160000092e-01 3.949000000000000288e+00
7.570207570207570201e-03 1.717171717169999889e-01 4.727333333333333165e+00
9.035409035409034534e-03 1.818181818179999965e-01 5.575666666666665883e+00
1.050061050061050147e-02 1.919191919190000040e-01 6.530666666666665954e+00
1.245421245421245507e-02 2.020202020200000115e-01 7.566666666666666430e+00
1.440781440781440867e-02 2.121212121209999912e-01 8.685500000000001108e+00
1.660561660561660560e-02 2.222222222219999987e-01 9.910333333333333883e+00
1.880341880341880254e-02 2.323232323230000063e-01 1.122333333333333449e+01
2.124542124542124627e-02 2.424242424240000138e-01 1.264666666666666650e+01
2.393162393162392987e-02 2.525252525250000213e-01 1.416999999999999993e+01
2.686202686202686374e-02 2.626262626259999733e-01 1.579333333333333123e+01
2.979242979242979067e-02 2.727272727269999808e-01 1.753000000000000114e+01
3.321123321123321120e-02 2.828282828279999883e-01 1.935666666666666558e+01
3.663003663003663174e-02 2.929292929289999958e-01 2.132000000000000028e+01
4.029304029304029561e-02 3.030303030300000033e-01 2.334999999999999787e+01
4.420024420024420281e-02 3.131313131310000109e-01 2.546499999999999986e+01
4.810744810744811001e-02 3.232323232320000184e-01 2.777666666666666728e+01
5.250305250305250387e-02 3.333333333330000259e-01 3.016666666666666785e+01
5.714285714285714107e-02 3.434343434339999779e-01 3.265999999999999659e+01
6.178266178266178521e-02 3.535353535349999854e-01 3.528999999999999915e+01
6.666666666666666574e-02 3.636363636359999929e-01 3.807000000000000028e+01
7.203907203907203294e-02 3.737373737370000004e-01 4.091999999999999460e+01
7.741147741147741401e-02 3.838383838380000079e-01 4.390666666666666629e+01
8.302808302808302454e-02 3.939393939390000154e-01 4.707000000000000028e+01
8.888888888888889228e-02 4.040404040400000230e-01 5.031666666666666288e+01
9.499389499389498948e-02 4.141414141409999750e-01 5.368333333333333712e+01
1.013431013431013439e-01 4.242424242419999825e-01 5.718333333333333712e+01
1.079365079365079416e-01 4.343434343429999900e-01 6.088333333333332575e+01
1.150183150183150121e-01 4.444444444439999975e-01 6.465000000000000568e+01
1.221001221001220965e-01 4.545454545450000050e-01 6.857333333333333769e+01
1.294261294261294382e-01 4.646464646460000125e-01 7.265999999999999659e+01
1.372405372405372526e-01 4.747474747470000200e-01 7.676999999999999602e+01
1.450549450549450670e-01 4.848484848480000275e-01 8.115000000000000568e+01
1.533577533577533680e-01 4.949494949489999795e-01 8.571999999999999886e+01
1.619047619047619124e-01 5.050505050510000205e-01 9.032333333333332348e+01
1.706959706959707002e-01 5.151515151519999725e-01 9.495999999999999375e+01
1.792429792429792446e-01 5.252525252530000355e-01 9.987999999999999545e+01
1.885225885225885190e-01 5.353535353539999875e-01 1.050000000000000000e+02
1.982905982905982800e-01 5.454545454550000505e-01 1.102000000000000028e+02
2.080586080586080688e-01 5.555555555560000025e-01 1.157000000000000028e+02
2.185592185592185599e-01 5.656565656569999545e-01 1.210999999999999801e+02
2.285714285714285643e-01 5.757575757580000175e-01 1.269000000000000057e+02
2.395604395604395698e-01 5.858585858589999695e-01 1.325999999999999943e+02
2.503052503052503042e-01 5.959595959600000326e-01 1.386333333333333258e+02
2.617826617826617963e-01 6.060606060609999846e-01 1.448000000000000114e+02
2.735042735042735318e-01 6.161616161620000476e-01 1.510999999999999943e+02
2.852258852258852118e-01 6.262626262629999996e-01 1.575333333333333314e+02
2.974358974358974339e-01 6.363636363639999516e-01 1.642333333333333201e+02
3.101343101343101427e-01 6.464646464650000146e-01 1.713000000000000398e+02
3.233211233211233382e-01 6.565656565659999666e-01 1.778666666666666742e+02
3.357753357753357482e-01 6.666666666670000296e-01 1.852333333333333485e+02
3.496947496947496736e-01 6.767676767679999816e-01 1.924666666666666686e+02
3.633699633699633558e-01 6.868686868690000447e-01 2.000000000000000000e+02
3.775335775335775246e-01 6.969696969699999967e-01 2.078333333333333428e+02
3.924297924297924234e-01 7.070707070709999487e-01 2.155333333333333314e+02
4.068376068376068355e-01 7.171717171720000117e-01 2.235999999999999943e+02
4.222222222222222210e-01 7.272727272729999637e-01 2.318000000000000398e+02
4.376068376068376065e-01 7.373737373740000267e-01 2.401333333333333258e+02
4.534798534798534786e-01 7.474747474749999787e-01 2.491666666666666572e+02
4.703296703296703241e-01 7.575757575760000417e-01 2.575000000000000000e+02
4.862026862026861962e-01 7.676767676769999937e-01 2.664666666666666970e+02
5.030525030525030417e-01 7.777777777779999457e-01 2.761333333333333826e+02
5.213675213675214026e-01 7.878787878790000088e-01 2.851666666666666856e+02
5.384615384615384359e-01 7.979797979799999608e-01 2.951999999999999886e+02
5.572649572649572836e-01 8.080808080810000238e-01 3.043666666666666742e+02
5.746031746031745602e-01 8.181818181819999758e-01 3.141999999999999886e+02
5.931623931623931645e-01 8.282828282830000388e-01 3.251999999999999886e+02
6.139194139194139588e-01 8.383838383839999908e-01 3.347666666666666515e+02
6.319902319902319654e-01 8.484848484850000538e-01 3.454000000000000341e+02
6.520146520146520297e-01 8.585858585860000058e-01 3.562666666666666515e+02
6.725274725274725807e-01 8.686868686869999578e-01 3.672333333333333485e+02
6.932844932844932639e-01 8.787878787880000209e-01 3.785000000000000000e+02
7.145299145299145449e-01 8.888888888889999729e-01 3.901999999999999886e+02
7.365079365079365559e-01 8.989898989900000359e-01 4.014333333333333371e+02
7.577533577533577258e-01 9.090909090909999879e-01 4.131999999999999886e+02
7.799755799755799801e-01 9.191919191920000509e-01 4.259333333333333371e+02
8.041514041514041811e-01 9.292929292930000029e-01 4.383666666666666174e+02
8.275946275946275410e-01 9.393939393939999549e-01 4.510333333333333030e+02
8.515262515262514986e-01 9.494949494950000179e-01 4.634666666666666401e+02
8.749694749694749696e-01 9.595959595959999699e-01 4.760000000000000000e+02
8.986568986568986839e-01 9.696969696970000330e-01 4.895000000000000000e+02
9.240537240537241015e-01 9.797979797979999850e-01 5.025666666666666060e+02
9.487179487179486781e-01 9.898989898990000480e-01 5.163333333333333712e+02
9.746031746031745824e-01 1.000000000000000000e+00 5.297999999999999545e+02
